trial_number,solver,shrinkage,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
10,lsqr,0.5,6,96,96,0.5,0.6666666666666666,0.5328798185941043,42
10,lsqr,0.5,6,97,97,0.5,0.0,0.6177685950413223,44
10,lsqr,0.5,6,98,98,0.5111111111111111,0.65625,0.5434782608695652,45
10,lsqr,0.5,6,99,99,0.4883720930232558,0.42105263157894735,0.5562770562770563,43
10,lsqr,0.5,6,100,100,0.5277777777777778,0.6530612244897959,0.5555555555555556,36
10,lsqr,0.5,6,101,101,0.4888888888888889,0.0,0.6521739130434783,45
10,lsqr,0.5,6,102,102,0.8666666666666667,0.8695652173913043,0.8774703557312253,45
10,lsqr,0.5,6,103,103,0.6511627906976745,0.5714285714285714,0.7835497835497836,43
10,lsqr,0.5,6,104,104,0.5348837209302325,0.6551724137931034,0.5238095238095238,43
10,lsqr,0.5,6,105,105,0.5777777777777777,0.3448275862068966,0.6067193675889329,45
10,lsqr,0.5,6,106,106,0.6,0.5714285714285714,0.6607142857142857,45
10,lsqr,0.5,6,107,107,0.5333333333333333,0.5116279069767442,0.5753968253968254,45
10,lsqr,0.5,6,108,108,0.8444444444444444,0.8444444444444444,0.9051383399209486,45
11,lsqr,0.3,6,1,1,0.7333333333333333,0.7857142857142857,0.8320158102766799,45
11,lsqr,0.3,6,2,2,0.6888888888888889,0.5333333333333333,0.8833992094861659,45
11,lsqr,0.3,6,3,3,0.5111111111111111,0.5217391304347826,0.466403162055336,45
11,lsqr,0.3,6,4,4,0.4888888888888889,0.6567164179104478,0.7964426877470355,45
11,lsqr,0.3,6,5,5,0.4666666666666667,0.6363636363636364,0.42063492063492064,45
11,lsqr,0.3,6,6,6,0.5555555555555556,0.09090909090909091,0.49404761904761907,45
11,lsqr,0.3,6,7,7,0.8444444444444444,0.8627450980392157,0.9881422924901186,45
11,lsqr,0.3,6,8,8,0.5777777777777777,0.6122448979591837,0.6897233201581027,45
11,lsqr,0.3,6,9,9,0.5777777777777777,0.5957446808510638,0.5396825396825397,45
11,lsqr,0.3,6,10,10,0.5777777777777777,0.5128205128205128,0.6746031746031746,45
11,lsqr,0.3,6,11,11,0.5111111111111111,0.6666666666666666,0.44466403162055335,45
11,lsqr,0.3,6,12,12,0.6,0.55,0.6825396825396826,45
11,lsqr,0.3,6,13,13,0.7714285714285715,0.7894736842105263,0.8627450980392157,35
11,lsqr,0.3,6,14,14,0.6888888888888889,0.75,0.7786561264822134,45
11,lsqr,0.3,6,15,15,0.5777777777777777,0.6984126984126984,0.9624505928853755,45
11,lsqr,0.3,6,16,16,0.6,0.7096774193548387,0.7391304347826088,45
11,lsqr,0.3,6,17,17,0.5238095238095238,0.0,0.5818181818181819,42
11,lsqr,0.3,6,18,18,0.5333333333333333,0.6666666666666666,0.4051383399209486,45
11,lsqr,0.3,6,19,19,0.6888888888888889,0.7586206896551724,0.8636363636363636,45
11,lsqr,0.3,6,20,20,0.5111111111111111,0.08333333333333333,0.5474308300395258,45
11,lsqr,0.3,6,21,21,0.5333333333333333,0.6181818181818182,0.7242063492063492,45
11,lsqr,0.3,6,22,22,0.5111111111111111,0.6764705882352942,0.7272727272727273,45
11,lsqr,0.3,6,23,23,0.6590909090909091,0.7368421052631579,0.8698347107438016,44
11,lsqr,0.3,6,24,24,0.5,0.3076923076923077,0.6103896103896104,18
11,lsqr,0.3,6,25,25,0.6222222222222222,0.711864406779661,0.7747035573122529,45
11,lsqr,0.3,6,26,26,0.7555555555555555,0.7924528301886793,0.7658730158730158,45
11,lsqr,0.3,6,27,27,0.4888888888888889,0.6461538461538462,0.5731225296442688,45
11,lsqr,0.3,6,28,28,0.6,0.5263157894736842,0.575098814229249,45
11,lsqr,0.3,6,29,29,0.8,0.8301886792452831,1.0,45
11,lsqr,0.3,6,30,30,0.5333333333333333,0.08695652173913043,0.6408730158730158,45
11,lsqr,0.3,6,31,31,0.8444444444444444,0.8571428571428571,0.974308300395257,45
11,lsqr,0.3,6,32,32,0.8409090909090909,0.8679245283018868,0.9544513457556937,44
11,lsqr,0.3,6,33,33,0.7333333333333333,0.6666666666666666,0.857707509881423,45
11,lsqr,0.3,6,34,34,0.8666666666666667,0.8888888888888888,0.9801587301587301,45
11,lsqr,0.3,6,35,35,0.5333333333333333,0.16,0.8557312252964426,45
11,lsqr,0.3,6,36,36,0.5,0.6451612903225806,0.43595041322314054,44
11,lsqr,0.3,6,37,37,0.5111111111111111,0.0,0.598814229249012,45
11,lsqr,0.3,6,38,38,0.5555555555555556,0.5,0.5968379446640316,45
11,lsqr,0.3,6,39,39,0.5,0.56,0.515527950310559,44
11,lsqr,0.3,6,40,40,0.5111111111111111,0.45,0.5277777777777778,45
11,lsqr,0.3,6,41,41,0.6888888888888889,0.6666666666666666,0.7976190476190477,45
11,lsqr,0.3,6,42,42,0.9111111111111111,0.9130434782608695,0.9782608695652174,45
11,lsqr,0.3,6,43,43,0.8,0.7567567567567568,0.9110671936758894,45
11,lsqr,0.3,6,44,44,0.6896551724137931,0.64,0.819047619047619,29
11,lsqr,0.3,6,45,45,0.5555555555555556,0.23076923076923078,0.8122529644268774,45
11,lsqr,0.3,6,46,46,0.6,0.35714285714285715,0.7233201581027668,45
11,lsqr,0.3,6,47,47,0.5111111111111111,0.6206896551724138,0.6051587301587301,45
11,lsqr,0.3,6,48,48,0.7058823529411765,0.6666666666666666,0.9142857142857143,17
11,lsqr,0.3,6,49,49,0.8666666666666667,0.8695652173913043,0.9604743083003953,45
11,lsqr,0.3,6,50,50,0.5111111111111111,0.0,0.6482213438735178,45
11,lsqr,0.3,6,51,51,0.5333333333333333,0.0,0.5932539682539683,45
11,lsqr,0.3,6,52,52,0.7804878048780488,0.7096774193548387,0.8253588516746412,41
11,lsqr,0.3,6,53,53,0.5813953488372093,0.55,0.58008658008658,43
11,lsqr,0.3,6,54,54,0.5128205128205128,0.6274509803921569,0.8288043478260869,39
11,lsqr,0.3,6,55,55,0.7555555555555555,0.6666666666666666,0.9130434782608696,45
11,lsqr,0.3,6,56,56,0.8181818181818182,0.8333333333333334,0.9132231404958677,44
11,lsqr,0.3,6,57,57,0.5555555555555556,0.6296296296296297,0.6924603174603173,45
11,lsqr,0.3,6,58,58,0.6,0.625,0.638888888888889,45
11,lsqr,0.3,6,59,59,0.5333333333333333,0.08695652173913043,0.44642857142857145,45
11,lsqr,0.3,6,60,60,0.7727272727272727,0.782608695652174,0.8987603305785125,44
11,lsqr,0.3,6,61,61,0.6744186046511628,0.6666666666666666,0.8268398268398268,43
11,lsqr,0.3,6,62,62,0.9333333333333333,0.9302325581395349,0.9901185770750988,45
11,lsqr,0.3,6,63,63,0.5581395348837209,0.24,0.5909090909090909,43
11,lsqr,0.3,6,64,64,0.6888888888888889,0.7586206896551724,0.8181818181818182,45
11,lsqr,0.3,6,65,65,0.6444444444444445,0.68,0.7718253968253967,45
11,lsqr,0.3,6,66,66,0.4888888888888889,0.5306122448979592,0.5039525691699605,45
11,lsqr,0.3,6,67,67,0.5111111111111111,0.15384615384615385,0.6324110671936759,45
11,lsqr,0.3,6,68,68,0.5111111111111111,0.08333333333333333,0.7015810276679841,45
11,lsqr,0.3,6,69,69,0.6444444444444445,0.5294117647058824,0.6884920634920635,45
11,lsqr,0.3,6,70,70,0.7333333333333333,0.6842105263157895,0.841897233201581,45
11,lsqr,0.3,6,71,71,0.6,0.35714285714285715,0.9328063241106719,45
11,lsqr,0.3,6,72,72,0.9555555555555556,0.9565217391304348,0.9881422924901185,45
11,lsqr,0.3,6,73,73,0.7333333333333333,0.7391304347826086,0.7608695652173914,45
11,lsqr,0.3,6,74,74,0.4444444444444444,0.4897959183673469,0.5496031746031746,45
11,lsqr,0.3,6,75,75,0.8536585365853658,0.8235294117647058,0.9285714285714286,41
11,lsqr,0.3,6,76,76,0.6666666666666666,0.6153846153846154,0.6541501976284585,45
11,lsqr,0.3,6,77,77,0.5555555555555556,0.5833333333333334,0.5813492063492063,45
11,lsqr,0.3,6,78,78,0.4666666666666667,0.6129032258064516,0.5454545454545455,45
11,lsqr,0.3,6,79,79,0.675,0.5517241379310345,0.735,40
11,lsqr,0.3,6,80,80,0.5111111111111111,0.0,0.5849802371541502,45
11,lsqr,0.3,6,81,81,0.4888888888888889,0.0,0.8517786561264822,45
11,lsqr,0.3,6,82,82,0.5111111111111111,0.6666666666666666,0.733201581027668,45
11,lsqr,0.3,6,83,83,0.5526315789473685,0.19047619047619047,0.8781163434903048,38
11,lsqr,0.3,6,84,84,0.6818181818181818,0.6666666666666666,0.7681159420289855,44
11,lsqr,0.3,6,85,85,0.5454545454545454,0.6774193548387096,0.9565217391304348,44
11,lsqr,0.3,6,86,86,0.7954545454545454,0.7692307692307693,0.9130434782608695,44
11,lsqr,0.3,6,87,87,0.5555555555555556,0.696969696969697,0.5790513833992095,45
11,lsqr,0.3,6,88,88,0.509090909090909,0.12903225806451613,0.6058201058201058,55
11,lsqr,0.3,6,89,89,0.6444444444444445,0.5789473684210527,0.75,45
11,lsqr,0.3,6,90,90,0.5555555555555556,0.5,0.5533596837944663,45
11,lsqr,0.3,6,91,91,0.5,0.6666666666666666,0.7933884297520661,44
11,lsqr,0.3,6,92,92,0.5714285714285714,0.3684210526315789,0.6769230769230768,56
11,lsqr,0.3,6,93,93,0.8666666666666667,0.8571428571428571,0.9229249011857708,45
11,lsqr,0.3,6,94,94,0.9772727272727273,0.9787234042553191,0.9979296066252588,44
11,lsqr,0.3,6,95,95,0.35714285714285715,0.5263157894736842,0.546875,28
11,lsqr,0.3,6,96,96,0.47619047619047616,0.6451612903225806,0.5351473922902494,42
11,lsqr,0.3,6,97,97,0.5,0.0,0.615702479338843,44
11,lsqr,0.3,6,98,98,0.5333333333333333,0.676923076923077,0.541501976284585,45
11,lsqr,0.3,6,99,99,0.4883720930232558,0.42105263157894735,0.5562770562770563,43
11,lsqr,0.3,6,100,100,0.5555555555555556,0.6521739130434783,0.5648148148148149,36
11,lsqr,0.3,6,101,101,0.4888888888888889,0.0,0.6620553359683794,45
11,lsqr,0.3,6,102,102,0.7555555555555555,0.7843137254901961,0.8794466403162056,45
11,lsqr,0.3,6,103,103,0.7441860465116279,0.6666666666666666,0.803030303030303,43
11,lsqr,0.3,6,104,104,0.5348837209302325,0.6551724137931034,0.5216450216450217,43
11,lsqr,0.3,6,105,105,0.5777777777777777,0.3448275862068966,0.6047430830039525,45
11,lsqr,0.3,6,106,106,0.6,0.5714285714285714,0.6686507936507936,45
11,lsqr,0.3,6,107,107,0.5555555555555556,0.5454545454545454,0.5912698412698412,45
11,lsqr,0.3,6,108,108,0.8666666666666667,0.8636363636363636,0.9051383399209486,45
12,lsqr,0.3,6,1,1,0.7333333333333333,0.7857142857142857,0.8320158102766799,45
12,lsqr,0.3,6,2,2,0.6888888888888889,0.5333333333333333,0.8833992094861659,45
12,lsqr,0.3,6,3,3,0.5111111111111111,0.5217391304347826,0.466403162055336,45
12,lsqr,0.3,6,4,4,0.4888888888888889,0.6567164179104478,0.7964426877470355,45
12,lsqr,0.3,6,5,5,0.4666666666666667,0.6363636363636364,0.42063492063492064,45
12,lsqr,0.3,6,6,6,0.5555555555555556,0.09090909090909091,0.49404761904761907,45
12,lsqr,0.3,6,7,7,0.8444444444444444,0.8627450980392157,0.9881422924901186,45
12,lsqr,0.3,6,8,8,0.5777777777777777,0.6122448979591837,0.6897233201581027,45
12,lsqr,0.3,6,9,9,0.5777777777777777,0.5957446808510638,0.5396825396825397,45
12,lsqr,0.3,6,10,10,0.5777777777777777,0.5128205128205128,0.6746031746031746,45
12,lsqr,0.3,6,11,11,0.5111111111111111,0.6666666666666666,0.44466403162055335,45
12,lsqr,0.3,6,12,12,0.6,0.55,0.6825396825396826,45
12,lsqr,0.3,6,13,13,0.7714285714285715,0.7894736842105263,0.8627450980392157,35
12,lsqr,0.3,6,14,14,0.6888888888888889,0.75,0.7786561264822134,45
12,lsqr,0.3,6,15,15,0.5777777777777777,0.6984126984126984,0.9624505928853755,45
12,lsqr,0.3,6,16,16,0.6,0.7096774193548387,0.7391304347826088,45
12,lsqr,0.3,6,17,17,0.5238095238095238,0.0,0.5818181818181819,42
12,lsqr,0.3,6,18,18,0.5333333333333333,0.6666666666666666,0.4051383399209486,45
12,lsqr,0.3,6,19,19,0.6888888888888889,0.7586206896551724,0.8636363636363636,45
12,lsqr,0.3,6,20,20,0.5111111111111111,0.08333333333333333,0.5474308300395258,45
12,lsqr,0.3,6,21,21,0.5333333333333333,0.6181818181818182,0.7242063492063492,45
12,lsqr,0.3,6,22,22,0.5111111111111111,0.6764705882352942,0.7272727272727273,45
12,lsqr,0.3,6,23,23,0.6590909090909091,0.7368421052631579,0.8698347107438016,44
12,lsqr,0.3,6,24,24,0.5,0.3076923076923077,0.6103896103896104,18
12,lsqr,0.3,6,25,25,0.6222222222222222,0.711864406779661,0.7747035573122529,45
12,lsqr,0.3,6,26,26,0.7555555555555555,0.7924528301886793,0.7658730158730158,45
12,lsqr,0.3,6,27,27,0.4888888888888889,0.6461538461538462,0.5731225296442688,45
12,lsqr,0.3,6,28,28,0.6,0.5263157894736842,0.575098814229249,45
12,lsqr,0.3,6,29,29,0.8,0.8301886792452831,1.0,45
12,lsqr,0.3,6,30,30,0.5333333333333333,0.08695652173913043,0.6408730158730158,45
12,lsqr,0.3,6,31,31,0.8444444444444444,0.8571428571428571,0.974308300395257,45
12,lsqr,0.3,6,32,32,0.8409090909090909,0.8679245283018868,0.9544513457556937,44
12,lsqr,0.3,6,33,33,0.7333333333333333,0.6666666666666666,0.857707509881423,45
12,lsqr,0.3,6,34,34,0.8666666666666667,0.8888888888888888,0.9801587301587301,45
12,lsqr,0.3,6,35,35,0.5333333333333333,0.16,0.8557312252964426,45
12,lsqr,0.3,6,36,36,0.5,0.6451612903225806,0.43595041322314054,44
12,lsqr,0.3,6,37,37,0.5111111111111111,0.0,0.598814229249012,45
12,lsqr,0.3,6,38,38,0.5555555555555556,0.5,0.5968379446640316,45
12,lsqr,0.3,6,39,39,0.5,0.56,0.515527950310559,44
12,lsqr,0.3,6,40,40,0.5111111111111111,0.45,0.5277777777777778,45
12,lsqr,0.3,6,41,41,0.6888888888888889,0.6666666666666666,0.7976190476190477,45
12,lsqr,0.3,6,42,42,0.9111111111111111,0.9130434782608695,0.9782608695652174,45
12,lsqr,0.3,6,43,43,0.8,0.7567567567567568,0.9110671936758894,45
12,lsqr,0.3,6,44,44,0.6896551724137931,0.64,0.819047619047619,29
12,lsqr,0.3,6,45,45,0.5555555555555556,0.23076923076923078,0.8122529644268774,45
12,lsqr,0.3,6,46,46,0.6,0.35714285714285715,0.7233201581027668,45
12,lsqr,0.3,6,47,47,0.5111111111111111,0.6206896551724138,0.6051587301587301,45
12,lsqr,0.3,6,48,48,0.7058823529411765,0.6666666666666666,0.9142857142857143,17
12,lsqr,0.3,6,49,49,0.8666666666666667,0.8695652173913043,0.9604743083003953,45
