trial_number,penalty,C,solver,class_weight,l1_ratio,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,41,41,0.7333333333333333,0.7142857142857143,0.7757936507936508,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,42,42,0.9333333333333333,0.9333333333333333,0.974308300395257,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,43,43,0.8,0.7567567567567568,0.9288537549407114,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,44,44,0.7241379310344828,0.6923076923076923,0.8380952380952381,29
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,45,45,0.5555555555555556,0.2857142857142857,0.808300395256917,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,46,46,0.6444444444444445,0.6521739130434783,0.725296442687747,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,47,47,0.5111111111111111,0.65625,0.6111111111111112,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,48,48,0.7647058823529411,0.75,0.9714285714285714,17
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,49,49,0.8444444444444444,0.8444444444444444,0.958498023715415,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,50,50,0.5111111111111111,0.21428571428571427,0.608695652173913,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,51,51,0.5777777777777777,0.17391304347826086,0.5396825396825398,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,52,52,0.7804878048780488,0.7096774193548387,0.8205741626794258,41
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,53,53,0.5581395348837209,0.5581395348837209,0.5692640692640694,43
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,54,54,0.5897435897435898,0.6521739130434783,0.782608695652174,39
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,55,55,0.8888888888888888,0.8837209302325582,0.924901185770751,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,56,56,0.8409090909090909,0.851063829787234,0.9111570247933884,44
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,57,57,0.6,0.6538461538461539,0.7103174603174603,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,58,58,0.6222222222222222,0.5405405405405406,0.6626984126984126,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,59,59,0.5333333333333333,0.08695652173913043,0.4464285714285714,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,60,60,0.7727272727272727,0.782608695652174,0.9194214876033058,44
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,61,61,0.7209302325581395,0.7,0.8398268398268398,43
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,62,62,0.9333333333333333,0.9302325581395349,0.9861660079051384,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,63,63,0.4883720930232558,0.0,0.5909090909090909,43
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,64,64,0.5555555555555556,0.6875,0.7786561264822134,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,65,65,0.6888888888888889,0.7407407407407407,0.7976190476190477,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,66,66,0.5333333333333333,0.6440677966101694,0.4980237154150198,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,67,67,0.5111111111111111,0.15384615384615385,0.6086956521739131,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,68,68,0.5555555555555556,0.23076923076923078,0.733201581027668,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,69,69,0.6,0.47058823529411764,0.6527777777777778,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,70,70,0.7333333333333333,0.7,0.8577075098814229,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,71,71,0.7555555555555555,0.6857142857142857,0.9387351778656127,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,72,72,0.9333333333333333,0.9361702127659575,0.9861660079051383,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,73,73,0.5111111111111111,0.6333333333333333,0.7233201581027668,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,74,74,0.4888888888888889,0.5818181818181818,0.5654761904761905,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,75,75,0.8048780487804879,0.7894736842105263,0.9476190476190476,41
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,76,76,0.6,0.35714285714285715,0.6581027667984191,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,77,77,0.4444444444444444,0.5454545454545454,0.5833333333333334,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,78,78,0.4666666666666667,0.6129032258064516,0.5454545454545454,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,79,79,0.675,0.5517241379310345,0.725,40
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,80,80,0.5111111111111111,0.0,0.6185770750988142,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,81,81,0.4888888888888889,0.0,0.8399209486166008,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,82,82,0.5333333333333333,0.676923076923077,0.7588932806324111,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,83,83,0.5789473684210527,0.2727272727272727,0.8698060941828254,38
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,84,84,0.6818181818181818,0.6956521739130435,0.7494824016563147,44
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,85,85,0.5454545454545454,0.6774193548387096,0.9606625258799172,44
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,86,86,0.7954545454545454,0.7804878048780488,0.8985507246376812,44
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,87,87,0.5111111111111111,0.6451612903225806,0.5652173913043479,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,88,88,0.509090909090909,0.3076923076923077,0.6190476190476191,55
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,89,89,0.6444444444444445,0.6923076923076923,0.7162698412698413,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,90,90,0.5333333333333333,0.5714285714285714,0.5553359683794467,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,91,91,0.5,0.6666666666666666,0.7603305785123966,44
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,92,92,0.5714285714285714,0.3684210526315789,0.6884615384615385,56
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,93,93,0.8888888888888888,0.8888888888888888,0.9110671936758893,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,94,94,0.9772727272727273,0.9787234042553191,1.0,44
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,95,95,0.39285714285714285,0.5405405405405406,0.5989583333333333,28
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,96,96,0.4523809523809524,0.6229508196721312,0.5419501133786848,42
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,97,97,0.5,0.0,0.6198347107438016,44
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,98,98,0.4888888888888889,0.5964912280701754,0.5335968379446641,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,99,99,0.46511627906976744,0.41025641025641024,0.5606060606060607,43
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,100,100,0.5277777777777778,0.5641025641025641,0.5709876543209877,36
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,101,101,0.4888888888888889,0.0,0.6304347826086957,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,102,102,0.7333333333333333,0.7857142857142857,0.8814229249011858,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,103,103,0.6511627906976745,0.6153846153846154,0.7965367965367965,43
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,104,104,0.5116279069767442,0.6440677966101694,0.48484848484848486,43
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,105,105,0.5333333333333333,0.16,0.5889328063241107,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,106,106,0.6222222222222222,0.6530612244897959,0.6646825396825397,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,107,107,0.5777777777777777,0.6545454545454545,0.6468253968253967,45
25,l2,0.8632267864172363,lbfgs,balanced,unused,6,108,108,0.8666666666666667,0.85,0.8952569169960474,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,1,1,0.7555555555555555,0.7843137254901961,0.8458498023715415,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,2,2,0.7111111111111111,0.5806451612903226,0.875494071146245,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,3,3,0.4666666666666667,0.4782608695652174,0.4308300395256917,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,4,4,0.4888888888888889,0.6567164179104478,0.8162055335968379,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,5,5,0.4888888888888889,0.6567164179104478,0.36111111111111116,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,6,6,0.5333333333333333,0.0,0.494047619047619,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,7,7,0.6888888888888889,0.7586206896551724,0.9881422924901186,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,8,8,0.6666666666666666,0.6666666666666666,0.691699604743083,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,9,9,0.5777777777777777,0.5581395348837209,0.5357142857142857,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,10,10,0.6444444444444445,0.6521739130434783,0.6825396825396826,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,11,11,0.5111111111111111,0.6666666666666666,0.4328063241106719,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,12,12,0.6222222222222222,0.5853658536585366,0.7123015873015873,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,13,13,0.8,0.8108108108108109,0.8954248366013071,35
26,l2,6.3675383862378325,liblinear,balanced,unused,6,14,14,0.6666666666666666,0.7457627118644068,0.7964426877470356,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,15,15,0.5555555555555556,0.6875,0.9486166007905139,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,16,16,0.5333333333333333,0.6865671641791045,0.7332015810276681,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,17,17,0.5238095238095238,0.0,0.5863636363636364,42
26,l2,6.3675383862378325,liblinear,balanced,unused,6,18,18,0.4888888888888889,0.6461538461538462,0.41304347826086957,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,19,19,0.7111111111111111,0.7719298245614035,0.841897233201581,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,20,20,0.5555555555555556,0.5,0.5889328063241106,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,21,21,0.5555555555555556,0.6296296296296297,0.7222222222222222,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,22,22,0.5111111111111111,0.6764705882352942,0.7312252964426877,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,23,23,0.6590909090909091,0.7368421052631579,0.8574380165289256,44
26,l2,6.3675383862378325,liblinear,balanced,unused,6,24,24,0.5555555555555556,0.42857142857142855,0.6493506493506493,18
26,l2,6.3675383862378325,liblinear,balanced,unused,6,25,25,0.6888888888888889,0.72,0.7628458498023716,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,26,26,0.6222222222222222,0.711864406779661,0.7896825396825397,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,27,27,0.4888888888888889,0.6567164179104478,0.5928853754940712,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,28,28,0.4888888888888889,0.4888888888888889,0.5513833992094862,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,29,29,0.8222222222222222,0.8461538461538461,1.0,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,30,30,0.5555555555555556,0.23076923076923078,0.6746031746031745,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,31,31,0.8666666666666667,0.875,0.9644268774703557,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,32,32,0.7045454545454546,0.7796610169491526,0.9503105590062112,44
26,l2,6.3675383862378325,liblinear,balanced,unused,6,33,33,0.7333333333333333,0.6666666666666666,0.8517786561264822,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,34,34,0.8666666666666667,0.8888888888888888,0.9841269841269841,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,35,35,0.6888888888888889,0.5882352941176471,0.8399209486166008,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,36,36,0.36363636363636365,0.46153846153846156,0.4049586776859504,44
26,l2,6.3675383862378325,liblinear,balanced,unused,6,37,37,0.5111111111111111,0.0,0.5711462450592886,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,38,38,0.5333333333333333,0.43243243243243246,0.5968379446640316,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,39,39,0.5,0.5,0.5196687370600415,44
26,l2,6.3675383862378325,liblinear,balanced,unused,6,40,40,0.6,0.6666666666666666,0.5357142857142857,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,41,41,0.7333333333333333,0.7142857142857143,0.7757936507936508,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,42,42,0.9333333333333333,0.9333333333333333,0.974308300395257,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,43,43,0.8,0.7567567567567568,0.9268774703557312,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,44,44,0.7241379310344828,0.6923076923076923,0.8380952380952381,29
26,l2,6.3675383862378325,liblinear,balanced,unused,6,45,45,0.5555555555555556,0.2857142857142857,0.808300395256917,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,46,46,0.6444444444444445,0.6521739130434783,0.725296442687747,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,47,47,0.5111111111111111,0.65625,0.6091269841269842,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,48,48,0.7647058823529411,0.75,0.9714285714285714,17
26,l2,6.3675383862378325,liblinear,balanced,unused,6,49,49,0.8444444444444444,0.8444444444444444,0.958498023715415,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,50,50,0.4888888888888889,0.20689655172413793,0.608695652173913,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,51,51,0.5777777777777777,0.17391304347826086,0.5396825396825398,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,52,52,0.7804878048780488,0.7096774193548387,0.8205741626794258,41
26,l2,6.3675383862378325,liblinear,balanced,unused,6,53,53,0.5581395348837209,0.5581395348837209,0.5692640692640694,43
26,l2,6.3675383862378325,liblinear,balanced,unused,6,54,54,0.5897435897435898,0.6521739130434783,0.782608695652174,39
26,l2,6.3675383862378325,liblinear,balanced,unused,6,55,55,0.8888888888888888,0.8837209302325582,0.924901185770751,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,56,56,0.8409090909090909,0.851063829787234,0.9111570247933884,44
26,l2,6.3675383862378325,liblinear,balanced,unused,6,57,57,0.6,0.6538461538461539,0.7083333333333334,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,58,58,0.6222222222222222,0.5405405405405406,0.6646825396825397,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,59,59,0.5333333333333333,0.08695652173913043,0.4464285714285714,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,60,60,0.7727272727272727,0.782608695652174,0.9194214876033058,44
26,l2,6.3675383862378325,liblinear,balanced,unused,6,61,61,0.7441860465116279,0.717948717948718,0.8398268398268398,43
26,l2,6.3675383862378325,liblinear,balanced,unused,6,62,62,0.9333333333333333,0.9302325581395349,0.9861660079051384,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,63,63,0.4883720930232558,0.0,0.5909090909090909,43
26,l2,6.3675383862378325,liblinear,balanced,unused,6,64,64,0.5555555555555556,0.6875,0.7806324110671936,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,65,65,0.6888888888888889,0.7407407407407407,0.7956349206349207,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,66,66,0.5333333333333333,0.6440677966101694,0.4980237154150198,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,67,67,0.5111111111111111,0.15384615384615385,0.6106719367588932,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,68,68,0.5555555555555556,0.23076923076923078,0.733201581027668,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,69,69,0.6,0.47058823529411764,0.6527777777777778,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,70,70,0.7333333333333333,0.7,0.8577075098814229,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,71,71,0.7555555555555555,0.6857142857142857,0.9387351778656127,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,72,72,0.9333333333333333,0.9361702127659575,0.9861660079051383,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,73,73,0.5111111111111111,0.6333333333333333,0.7252964426877471,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,74,74,0.4888888888888889,0.5818181818181818,0.5654761904761905,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,75,75,0.8048780487804879,0.7894736842105263,0.9476190476190476,41
26,l2,6.3675383862378325,liblinear,balanced,unused,6,76,76,0.6,0.35714285714285715,0.6581027667984191,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,77,77,0.4444444444444444,0.5454545454545454,0.5833333333333334,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,78,78,0.4666666666666667,0.6129032258064516,0.5434782608695652,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,79,79,0.675,0.5517241379310345,0.725,40
26,l2,6.3675383862378325,liblinear,balanced,unused,6,80,80,0.5111111111111111,0.0,0.6185770750988142,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,81,81,0.4888888888888889,0.0,0.8379446640316205,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,82,82,0.5333333333333333,0.676923076923077,0.7588932806324111,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,83,83,0.5789473684210527,0.2727272727272727,0.8698060941828254,38
26,l2,6.3675383862378325,liblinear,balanced,unused,6,84,84,0.6818181818181818,0.6956521739130435,0.7494824016563147,44
26,l2,6.3675383862378325,liblinear,balanced,unused,6,85,85,0.5454545454545454,0.6774193548387096,0.9606625258799172,44
26,l2,6.3675383862378325,liblinear,balanced,unused,6,86,86,0.7727272727272727,0.75,0.8985507246376812,44
26,l2,6.3675383862378325,liblinear,balanced,unused,6,87,87,0.5111111111111111,0.6451612903225806,0.5671936758893281,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,88,88,0.509090909090909,0.3076923076923077,0.6177248677248678,55
26,l2,6.3675383862378325,liblinear,balanced,unused,6,89,89,0.6444444444444445,0.6923076923076923,0.7142857142857143,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,90,90,0.5333333333333333,0.5714285714285714,0.5573122529644268,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,91,91,0.5,0.6666666666666666,0.7623966942148761,44
26,l2,6.3675383862378325,liblinear,balanced,unused,6,92,92,0.5714285714285714,0.3684210526315789,0.6897435897435897,56
26,l2,6.3675383862378325,liblinear,balanced,unused,6,93,93,0.8888888888888888,0.8888888888888888,0.9110671936758893,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,94,94,0.9772727272727273,0.9787234042553191,1.0,44
26,l2,6.3675383862378325,liblinear,balanced,unused,6,95,95,0.39285714285714285,0.5405405405405406,0.5989583333333333,28
26,l2,6.3675383862378325,liblinear,balanced,unused,6,96,96,0.4523809523809524,0.6229508196721312,0.5419501133786848,42
26,l2,6.3675383862378325,liblinear,balanced,unused,6,97,97,0.5,0.0,0.6198347107438016,44
26,l2,6.3675383862378325,liblinear,balanced,unused,6,98,98,0.4888888888888889,0.5964912280701754,0.5335968379446641,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,99,99,0.46511627906976744,0.41025641025641024,0.564935064935065,43
26,l2,6.3675383862378325,liblinear,balanced,unused,6,100,100,0.5277777777777778,0.5641025641025641,0.5709876543209877,36
26,l2,6.3675383862378325,liblinear,balanced,unused,6,101,101,0.4888888888888889,0.0,0.6324110671936758,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,102,102,0.7333333333333333,0.7857142857142857,0.8814229249011858,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,103,103,0.627906976744186,0.6,0.7965367965367965,43
26,l2,6.3675383862378325,liblinear,balanced,unused,6,104,104,0.5116279069767442,0.6440677966101694,0.48484848484848486,43
26,l2,6.3675383862378325,liblinear,balanced,unused,6,105,105,0.5333333333333333,0.16,0.5889328063241107,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,106,106,0.6222222222222222,0.6530612244897959,0.6626984126984127,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,107,107,0.5777777777777777,0.6545454545454545,0.6468253968253967,45
26,l2,6.3675383862378325,liblinear,balanced,unused,6,108,108,0.8666666666666667,0.85,0.8952569169960474,45
27,l1,2.931058169394587,saga,balanced,unused,6,1,1,0.7555555555555555,0.7843137254901961,0.8458498023715415,45
27,l1,2.931058169394587,saga,balanced,unused,6,2,2,0.7111111111111111,0.5806451612903226,0.875494071146245,45
27,l1,2.931058169394587,saga,balanced,unused,6,3,3,0.4666666666666667,0.4782608695652174,0.4308300395256917,45
27,l1,2.931058169394587,saga,balanced,unused,6,4,4,0.4888888888888889,0.6567164179104478,0.8142292490118577,45
27,l1,2.931058169394587,saga,balanced,unused,6,5,5,0.4888888888888889,0.6567164179104478,0.36111111111111116,45
27,l1,2.931058169394587,saga,balanced,unused,6,6,6,0.5333333333333333,0.0,0.494047619047619,45
27,l1,2.931058169394587,saga,balanced,unused,6,7,7,0.7111111111111111,0.7719298245614035,0.9881422924901186,45
27,l1,2.931058169394587,saga,balanced,unused,6,8,8,0.6666666666666666,0.6666666666666666,0.691699604743083,45
27,l1,2.931058169394587,saga,balanced,unused,6,9,9,0.6222222222222222,0.6046511627906976,0.5376984126984128,45
27,l1,2.931058169394587,saga,balanced,unused,6,10,10,0.6444444444444445,0.6521739130434783,0.6825396825396826,45
27,l1,2.931058169394587,saga,balanced,unused,6,11,11,0.5111111111111111,0.6666666666666666,0.4328063241106719,45
27,l1,2.931058169394587,saga,balanced,unused,6,12,12,0.6222222222222222,0.5853658536585366,0.7123015873015873,45
27,l1,2.931058169394587,saga,balanced,unused,6,13,13,0.8,0.8108108108108109,0.8954248366013071,35
27,l1,2.931058169394587,saga,balanced,unused,6,14,14,0.6666666666666666,0.7457627118644068,0.7964426877470356,45
27,l1,2.931058169394587,saga,balanced,unused,6,15,15,0.5555555555555556,0.6875,0.9505928853754941,45
27,l1,2.931058169394587,saga,balanced,unused,6,16,16,0.5333333333333333,0.6865671641791045,0.7332015810276681,45
27,l1,2.931058169394587,saga,balanced,unused,6,17,17,0.5238095238095238,0.0,0.5886363636363636,42
27,l1,2.931058169394587,saga,balanced,unused,6,18,18,0.4888888888888889,0.6461538461538462,0.4150197628458498,45
27,l1,2.931058169394587,saga,balanced,unused,6,19,19,0.7111111111111111,0.7719298245614035,0.841897233201581,45
27,l1,2.931058169394587,saga,balanced,unused,6,20,20,0.5555555555555556,0.5,0.5889328063241106,45
27,l1,2.931058169394587,saga,balanced,unused,6,21,21,0.5555555555555556,0.6296296296296297,0.7222222222222222,45
27,l1,2.931058169394587,saga,balanced,unused,6,22,22,0.5111111111111111,0.6764705882352942,0.7312252964426877,45
27,l1,2.931058169394587,saga,balanced,unused,6,23,23,0.6590909090909091,0.7368421052631579,0.8574380165289256,44
27,l1,2.931058169394587,saga,balanced,unused,6,24,24,0.5555555555555556,0.42857142857142855,0.6493506493506493,18
27,l1,2.931058169394587,saga,balanced,unused,6,25,25,0.6888888888888889,0.72,0.7628458498023716,45
27,l1,2.931058169394587,saga,balanced,unused,6,26,26,0.6222222222222222,0.711864406779661,0.7896825396825397,45
27,l1,2.931058169394587,saga,balanced,unused,6,27,27,0.4888888888888889,0.6567164179104478,0.5928853754940712,45
27,l1,2.931058169394587,saga,balanced,unused,6,28,28,0.4888888888888889,0.4888888888888889,0.5513833992094862,45
27,l1,2.931058169394587,saga,balanced,unused,6,29,29,0.8222222222222222,0.8461538461538461,1.0,45
27,l1,2.931058169394587,saga,balanced,unused,6,30,30,0.5555555555555556,0.23076923076923078,0.6746031746031745,45
27,l1,2.931058169394587,saga,balanced,unused,6,31,31,0.8666666666666667,0.875,0.9644268774703557,45
27,l1,2.931058169394587,saga,balanced,unused,6,32,32,0.7045454545454546,0.7796610169491526,0.9503105590062112,44
27,l1,2.931058169394587,saga,balanced,unused,6,33,33,0.7333333333333333,0.6666666666666666,0.8517786561264822,45
27,l1,2.931058169394587,saga,balanced,unused,6,34,34,0.8666666666666667,0.8888888888888888,0.9841269841269841,45
27,l1,2.931058169394587,saga,balanced,unused,6,35,35,0.6888888888888889,0.5882352941176471,0.8399209486166008,45
27,l1,2.931058169394587,saga,balanced,unused,6,36,36,0.36363636363636365,0.46153846153846156,0.4049586776859504,44
27,l1,2.931058169394587,saga,balanced,unused,6,37,37,0.5111111111111111,0.0,0.5711462450592886,45
27,l1,2.931058169394587,saga,balanced,unused,6,38,38,0.5333333333333333,0.43243243243243246,0.5968379446640316,45
27,l1,2.931058169394587,saga,balanced,unused,6,39,39,0.5,0.5,0.5196687370600415,44
27,l1,2.931058169394587,saga,balanced,unused,6,40,40,0.6,0.6666666666666666,0.5357142857142857,45
27,l1,2.931058169394587,saga,balanced,unused,6,41,41,0.7333333333333333,0.7142857142857143,0.7757936507936508,45
27,l1,2.931058169394587,saga,balanced,unused,6,42,42,0.9333333333333333,0.9333333333333333,0.974308300395257,45
27,l1,2.931058169394587,saga,balanced,unused,6,43,43,0.8,0.7567567567567568,0.9268774703557312,45
27,l1,2.931058169394587,saga,balanced,unused,6,44,44,0.7241379310344828,0.6923076923076923,0.8380952380952381,29
27,l1,2.931058169394587,saga,balanced,unused,6,45,45,0.5555555555555556,0.2857142857142857,0.808300395256917,45
27,l1,2.931058169394587,saga,balanced,unused,6,46,46,0.6444444444444445,0.6521739130434783,0.725296442687747,45
27,l1,2.931058169394587,saga,balanced,unused,6,47,47,0.5111111111111111,0.65625,0.6111111111111112,45
27,l1,2.931058169394587,saga,balanced,unused,6,48,48,0.7647058823529411,0.75,0.9714285714285714,17
27,l1,2.931058169394587,saga,balanced,unused,6,49,49,0.8444444444444444,0.8444444444444444,0.958498023715415,45
27,l1,2.931058169394587,saga,balanced,unused,6,50,50,0.5111111111111111,0.21428571428571427,0.608695652173913,45
27,l1,2.931058169394587,saga,balanced,unused,6,51,51,0.5777777777777777,0.17391304347826086,0.5396825396825398,45
27,l1,2.931058169394587,saga,balanced,unused,6,52,52,0.7804878048780488,0.7096774193548387,0.8205741626794258,41
27,l1,2.931058169394587,saga,balanced,unused,6,53,53,0.5581395348837209,0.5581395348837209,0.5692640692640694,43
27,l1,2.931058169394587,saga,balanced,unused,6,54,54,0.5897435897435898,0.6521739130434783,0.782608695652174,39
27,l1,2.931058169394587,saga,balanced,unused,6,55,55,0.8888888888888888,0.8837209302325582,0.9268774703557312,45
27,l1,2.931058169394587,saga,balanced,unused,6,56,56,0.8409090909090909,0.851063829787234,0.9111570247933884,44
27,l1,2.931058169394587,saga,balanced,unused,6,57,57,0.6,0.6538461538461539,0.7083333333333334,45
27,l1,2.931058169394587,saga,balanced,unused,6,58,58,0.6222222222222222,0.5405405405405406,0.6646825396825397,45
27,l1,2.931058169394587,saga,balanced,unused,6,59,59,0.5333333333333333,0.08695652173913043,0.4464285714285714,45
27,l1,2.931058169394587,saga,balanced,unused,6,60,60,0.7727272727272727,0.782608695652174,0.9194214876033058,44
27,l1,2.931058169394587,saga,balanced,unused,6,61,61,0.7209302325581395,0.7,0.8398268398268398,43
